epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.5879,3.37957,5.50997,4.13661,0.00111,0.70833,0.00624,0.00203,2.82168,10.1381,4.08753,0.000541044,0.000541044,0.000541044
2,127.099,3.16071,5.0259,3.92181,0.00105,0.70833,0.00431,0.00168,2.91405,9.72807,3.58134,0.00108585,0.00108585,0.00108585
3,192.403,3.04884,4.53467,3.53154,0.00021,0.30208,0.00162,0.0005,4.19631,10.6541,4.16216,0.00161966,0.00161966,0.00161966
4,257.268,3.04056,4.30045,3.40997,0.51621,0.4375,0.12548,0.03114,3.00238,11.0093,3.64531,0.00161749,0.00161749,0.00161749
5,325.117,2.85794,4.10906,3.33234,0.54977,0.09375,0.03429,0.00635,3.19408,6.66357,4.32801,0.00160099,0.00160099,0.00160099
6,392.611,2.87769,3.86655,3.23418,0.53751,0.125,0.04304,0.00836,3.20009,8.80173,3.70882,0.00158448,0.00158448,0.00158448
7,458.687,2.79187,3.69867,3.16415,0.00074,0.20833,0.00066,0.00015,3.52019,7.40291,10.7671,0.00156798,0.00156798,0.00156798
8,523.776,2.67817,3.52649,3.14068,0.06249,0.04167,0.02981,0.0066,2.73113,6.77929,3.18239,0.00155148,0.00155148,0.00155148
9,589.405,2.63935,3.35188,3.08104,0.00018,0.0625,0.00016,5e-05,3.3313,6.6469,10.0707,0.00153497,0.00153497,0.00153497
10,656.718,2.53594,3.21557,3.0504,0.50875,0.03125,0.01632,0.00398,2.56735,7.83783,3.61895,0.00151847,0.00151847,0.00151847
11,725.852,2.4618,3.23329,2.94182,0.21089,0.27083,0.09295,0.03082,2.34799,37.6318,3.0549,0.00150197,0.00150197,0.00150197
12,792.32,2.41034,3.07613,2.8883,0.5636,0.04167,0.07026,0.02229,2.41783,4.29206,3.27608,0.00148546,0.00148546,0.00148546
13,860.037,2.30835,2.90657,2.81325,0.35692,0.42708,0.34572,0.12963,2.39375,5.27946,3.08151,0.00146896,0.00146896,0.00146896
14,926.124,2.24585,2.85711,2.74603,0.21564,0.04167,0.0468,0.01396,2.56979,4.9909,6.41044,0.00145246,0.00145246,0.00145246
15,989.864,2.23326,2.80956,2.76707,0.56104,0.0625,0.0817,0.03411,2.23404,16.9204,3.31427,0.00143595,0.00143595,0.00143595
16,1058.33,2.1399,2.63663,2.62398,0.75165,0.1875,0.24094,0.10352,2.29243,3.62765,3.16041,0.00141945,0.00141945,0.00141945
17,1126.37,2.07525,2.59122,2.63061,0.01508,0.125,0.0095,0.00359,2.57741,4.68507,3.24793,0.00140295,0.00140295,0.00140295
18,1194.22,2.01105,2.55349,2.55006,0.10109,0.22464,0.05836,0.02621,2.38474,4.21307,3.16887,0.00138644,0.00138644,0.00138644
19,1262.4,2.05431,2.35225,2.48335,0.08067,0.27083,0.10275,0.03188,2.35546,5.9696,3.27857,0.00136994,0.00136994,0.00136994
20,1329.87,1.9918,2.24699,2.5275,0.04901,0.53125,0.04485,0.0153,2.39028,7.6218,3.15914,0.00135344,0.00135344,0.00135344
21,1396.74,1.98934,2.227,2.50437,0.61351,0.5142,0.53969,0.29837,2.01228,2.19682,2.7307,0.00133693,0.00133693,0.00133693
22,1462.57,1.90736,2.23649,2.44432,0.79177,0.45341,0.49586,0.27734,2.01695,2.14469,2.61665,0.00132043,0.00132043,0.00132043
23,1522.96,1.84452,2.0927,2.37038,0,0,0,0,2.37279,4.97645,10.9527,0.00130393,0.00130393,0.00130393
24,1581.13,1.81358,2.01667,2.37524,0.48007,0.32229,0.17079,0.03968,2.59793,4.79673,3.85748,0.00128742,0.00128742,0.00128742
25,1644.01,1.8102,1.99144,2.3574,0.75282,0.52204,0.4832,0.29079,1.91463,4.56658,2.89367,0.00127092,0.00127092,0.00127092
26,1704.49,1.68652,1.89075,2.23159,0.55772,0.3125,0.38606,0.23842,1.65131,2.42343,2.57321,0.00125442,0.00125442,0.00125442
27,1764.61,1.63509,1.79971,2.23342,0.12096,0.55208,0.18973,0.08027,2.21731,9.30762,3.44529,0.00123791,0.00123791,0.00123791
28,1829.88,1.61391,1.76773,2.17534,0.7597,0.52113,0.66645,0.38857,1.64769,2.03029,2.5146,0.00122141,0.00122141,0.00122141
29,1894.86,1.57148,1.74452,2.17066,0.78659,0.5682,0.82064,0.5121,1.64778,1.50535,2.40236,0.00120491,0.00120491,0.00120491
30,1962.9,1.48602,1.54498,2.06648,0.34762,0.42708,0.19859,0.08573,2.19213,3.78835,3.95743,0.0011884,0.0011884,0.0011884
31,2031.01,1.52719,1.64835,2.11237,0.48445,0.52083,0.47932,0.24956,2.17714,6.46092,3.26962,0.0011719,0.0011719,0.0011719
32,2098.83,1.3477,1.62913,1.98422,0.81975,0.52083,0.48668,0.32445,1.86094,3.56763,3.09073,0.0011554,0.0011554,0.0011554
33,2166.78,1.41473,1.72992,1.94913,0.67188,0.56607,0.59191,0.40857,1.44391,2.42698,2.30537,0.00113889,0.00113889,0.00113889
34,2234.66,1.3328,1.43943,1.92672,0.25493,0.5239,0.25589,0.11368,2.31603,8.88602,4.10916,0.00112239,0.00112239,0.00112239
35,2302.49,1.28519,1.40278,1.87108,0.29526,0.11458,0.13395,0.0795,2.20295,4.57924,4.96331,0.00110589,0.00110589,0.00110589
