epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.1372,3.37957,5.50997,4.13661,0.00111,0.70833,0.00624,0.00203,2.82168,10.1381,4.08753,0.000541044,0.000541044,0.000541044
2,137.055,3.16832,5.03154,3.92599,0.00105,0.70833,0.00507,0.00207,2.86237,9.64058,3.45463,0.00106052,0.00106052,0.00106052
3,204.987,3.09685,4.50528,3.53331,0.00047,0.66667,0.0035,0.00103,2.99443,7.64342,4.46828,0.00154332,0.00154332,0.00154332
4,272.941,3.0185,4.3171,3.38308,0.51811,0.40625,0.08386,0.0158,3.39109,9.58167,3.65969,0.00150197,0.00150197,0.00150197
5,342.101,2.85831,3.95749,3.26663,0.01932,0.3125,0.01935,0.00667,2.65006,14.2686,3.33389,0.00144696,0.00144696,0.00144696
6,411.279,2.72437,3.67962,3.11623,0.08259,0.0625,0.06314,0.01167,2.34275,26.4907,3.26841,0.00139195,0.00139195,0.00139195
7,479.974,2.63337,3.54264,3.04443,0.5267,0.03125,0.00367,0.00091,3.55816,6.27247,8.82712,0.00133693,0.00133693,0.00133693
8,542.599,2.62794,3.42448,3.03479,0.68992,0.03125,0.05898,0.01788,3.00904,4.72916,4.89052,0.00128192,0.00128192,0.00128192
9,603.913,2.53966,3.24163,2.91811,0.7417,0.0625,0.09476,0.03522,2.51982,4.22845,3.54068,0.00122691,0.00122691,0.00122691
10,665.467,2.44528,3.09505,2.90408,0.04228,0.13542,0.00667,0.00152,2.88916,11.5727,3.4671,0.0011719,0.0011719,0.0011719
11,728.631,2.46978,3.05987,2.87547,0.72834,0.34375,0.25331,0.11429,2.17395,5.05706,3.03032,0.00111689,0.00111689,0.00111689
12,797.312,2.42186,2.99048,2.81936,0.04591,0.35417,0.02316,0.00759,2.29964,6.51186,2.93069,0.00106188,0.00106188,0.00106188
13,867.492,2.31639,2.77265,2.72228,0.66561,0.25,0.2095,0.11551,2.19892,4.77957,2.79415,0.00100687,0.00100687,0.00100687
14,936.904,2.22703,2.54971,2.60837,0.29763,0.22917,0.21031,0.1244,2.04451,3.75251,2.73049,0.000951857,0.000951857,0.000951857
15,1001.75,2.13845,2.48769,2.63807,0.67939,0.21875,0.18441,0.09189,2.35137,4.63759,2.91829,0.000896846,0.000896846,0.000896846
16,1071.4,2.09406,2.3718,2.47727,0.5364,0.44445,0.44275,0.22021,2.10482,2.7111,2.74903,0.000841835,0.000841835,0.000841835
17,1141.22,1.98319,2.17799,2.45884,0.41067,0.38542,0.35358,0.21701,2.04669,2.69615,2.58587,0.000786824,0.000786824,0.000786824
18,1211.1,1.93591,2.21784,2.37534,0.97634,0.4375,0.48419,0.29228,2.17514,3.29929,2.82313,0.000731813,0.000731813,0.000731813
19,1282.89,1.90013,2.04277,2.24758,0.41386,0.51042,0.17352,0.07445,2.31671,7.98115,3.43289,0.000676802,0.000676802,0.000676802
20,1354.24,1.70366,2.00981,2.21772,0.42485,0.47917,0.2507,0.10999,2.22665,4.55002,3.10906,0.000621791,0.000621791,0.000621791
21,1425.5,1.58505,2.31535,2.10988,0.80123,0.54618,0.57173,0.36393,1.81087,2.36678,2.43825,0.00056678,0.00056678,0.00056678
22,1494.54,1.50939,2.1778,2.04909,0.61437,0.50486,0.46483,0.28378,1.75482,2.4133,2.48836,0.000511769,0.000511769,0.000511769
23,1557.3,1.47624,2.05777,2.13228,0.773,0.55169,0.55511,0.40894,1.37062,2.16455,2.09177,0.000456758,0.000456758,0.000456758
24,1616.9,1.38673,2.09262,1.97938,0.67415,0.53125,0.57243,0.39955,1.22859,2.02457,2.00324,0.000401747,0.000401747,0.000401747
25,1680.19,1.40385,1.75614,2.02839,0.41469,0.47917,0.32822,0.18017,2.67734,3.56177,3.55161,0.000346736,0.000346736,0.000346736
26,1737.62,1.33973,1.83251,1.91173,0.80759,0.56093,0.56139,0.43722,1.07867,2.01286,1.96821,0.000291725,0.000291725,0.000291725
27,1794.4,1.20259,1.92492,1.83091,0.28687,0.52083,0.17343,0.09399,1.91012,3.73678,2.59697,0.000236714,0.000236714,0.000236714
28,1851.8,1.19015,1.54051,1.89718,0.73595,0.49362,0.54537,0.39831,1.12452,1.85746,1.89969,0.000181703,0.000181703,0.000181703
29,1909.21,1.2256,1.50282,1.78685,0.82953,0.58809,0.66647,0.51292,1.02289,1.53246,1.80173,0.000126692,0.000126692,0.000126692
30,1966.51,1.21418,1.52459,1.80708,0.55235,0.58333,0.45698,0.29985,1.70824,2.78224,2.4263,7.1681e-05,7.1681e-05,7.1681e-05
